ADDACC,Add Access Code,アクセスコードを追加する
ADDICFDEVE,Add Intersystem Communications Function Device Entry,ICF装置項目を追加する
ADDIMGCLGE,Add Image Catalog Entry,イメージ・カタログ項目を追加する
ADDJOBJS,Add Job using Advanced Job Scheduler,AJSを使用してジョブを追加する
ADDJOBQE,Add Job Queue Entry,ジョブ待ち行列項目を追加する
ADDJOBSCDE,Add Job Schedule Entry,ジョブ・スケジュール項目を追加する
ADDJWDFN,Add Job Watcher Definition,ジョブ監視機能定義を追加する
ADDKRBKTE,Add Kerberos Keytab Entry,Kerberosキータブ項目を追加する
ADDKRBTKT,Add Kerberos Ticket,Kerberosチケットを追加する
ADDLANADPI,Add LAN Adapter Information,LANアダプター情報を追加する
ADDLFM,Add Logical File Member,論理ファイル・メンバーを追加する
ADDLIBLE,Add Library List Entry,ライブラリー・リスト項目を追加する
ADDLICKEY,Add License Key Information,ライセンス・キー情報を追加する
ADDLNK,Add Link,リンクを追加する
ADDMEDBRM,Add Media to BRMS,BRMSに媒体を追加する
ADDMEDIBRM,Add Media Information to BRMS,BRMSに媒体情報を追加する
ADDMFS,Add Mounted File System,マウント・ファイル・システムを追加する
ADDMLMBRM,Add Media Library Media to BRMS,BRMSに媒体ライブラリー媒体を追加する
ADDMSGD,Add Message Description,メッセージ記述を追加する
ADDMSTPART,Add Master Key Part,マスター・キーの一部を追加する
ADDNCK,Add Nickname,ニックネームを追加する
ADDNETJOBE,Add Network Job Entry,ネットワーク・ジョブ項目を追加する
ADDNETTBLE,Add Network Table Entry,ネットワーク・テーブル項目を追加する
ADDNODLE,Add Node List Entry,ノード・リスト項目を追加する
ADDNWSSTGL,Add Server Storage Link,サーバー記憶域リンクを追加する
ADDOPTCTG,Add Optical Cartridge,光ディスク・カートリッジを追加する
ADDOPTSVR,Add Optical Server,光ディスク・サーバーを追加する
ADDOSPFARA,Add OSPF Area,OSPFエリアを追加する
ADDOSPFIFC,Add OSPF Interface,OSPFインターフェースを追加する
ADDOSPFLNK,Add OSPF Virtual Link,OSPF仮想リンクを追加する
ADDOSPFRNG,Add OSPF Range,OSPF範囲を追加する
ADDPCLTBLE,Add Protocol Table Entry,プロトコル・テーブル項目を追加する
ADDPEXDFN,Add Performance Explorer Definition,PEX定義を追加する
ADDPEXFTR,Add Performance Explorer Filter,PEXフィルターを追加する
ADDPFCST,Add Physical File Constraint,物理ファイル制約を追加する
ADDPFM,Add Physical File Member,物理ファイル・メンバーを追加する
ADDPFTRG,Add Physical File Trigger,物理ファイル・トリガーを追加する
ADDPFVLM,Add Physical File Variable Length Member,物理ファイル可変長メンバーを追加する
ADDPFXDLFM,Add Prefix to DataLink File Manager,DataLinkファイル・マネージャーに接頭部を追加する
ADDPGM,Add Program,プログラムを追加する (デバッグ用)
ADDPJE,Add Prestart Job Entry,事前開始ジョブ項目を追加する
ADDPRBACNE,Add Problem Action Entry,問題処置項目を追加する
ADDPRBSLTE,Add Problem Selection Entry,問題選択項目を追加する
ADDPRDLICI,Add License Information,ライセンス情報を追加する
ADDRDBDIRE,Add Relational Database Directory Entry,RDBディレクトリー項目を追加する
ADDREXBUF,Add REXX Buffer,REXXバッファーを追加する
ADDRIPACP,Add Routing Information Protocol Accepted Route,RIP承認経路を追加する
ADDRIPFLT,Add Routing Information Protocol Filter,RIPフィルターを追加する
ADDRIPIFC,Add Routing Information Protocol Interface,RIPインターフェースを追加する
ADDRIPIGN,Add Ignored Routing Information Protocol Neighbor,無視RIP隣接ルーターを追加する
ADDRMTDFN,Add Remote Definition,リモート定義を追加する
ADDRMTJRN,Add Remote Journal,リモート・ジャーナルを追加する
ADDRPTOND,Add Report,レポートを追加する
ADDRPYLE,Add Reply List Entry,応答リスト項目を追加する
ADDRTGE,Add Routing Entry,ルーティング項目を追加する
ADDSCHIDXE,Add Search Index Entry,検索索引項目を追加する
ADDSDSTLE,Add SMTP Dist List Entry,SMTP配布リスト項目を追加する
ADDSMTPLE,Add SMTP List Entry,SMTPリスト項目を追加する
ADDSMTPRLE,Add Remote Login Entry,リモート・ログイン項目を追加する
ADDSOCE,Add Sphere of Control Entry,制御範囲項目を追加する
ADDSRVTBLE,Add Service Table Entry,サービス・テーブル項目を追加する
ADDSVCCPYD,Add SAN Volume Controller ASP Copy Description,SVC ASPコピー記述を追加する
ADDSVRAUTE,Add Server Authentication Entry,サーバー権限項目を追加する
ADDTAPCTG,Add Tape Cartridge,磁気テープ・カートリッジを追加する
ADDTCPHTE,Add TCP/IP Host Table Entry,TCP/IPホスト・テーブル項目を追加する
ADDTCPIFC,Add TCP/IP Interface,TCP/IPインターフェースを追加する
ADDTCPPORT,Add TCP/IP Port Restriction,TCP/IPポート制約を追加する
ADDTCPRTE,Add TCP/IP Route,TCP/IP経路を追加する
ADDTCPSVR,Add TCP/IP Server,TCP/IPサーバーを追加する
ADDTRC,Add Trace,トレースを追加する
ADDTRCFTR,Add Trace Filter,トレース・フィルターを追加する
ADDUSRSMTP,Add User SMTP,ユーザーSMTPを追加する
ADDUSRSNMP,Add User for SNMP,SNMPユーザーを追加する
ADDVACSNMP,Add VACM for SNMP,SNMPのVACMを追加する
ADDWLCGRP,Add Workload Group,作業負荷グループを追加する
ADDWLCPRDE,Add Workload Product Entry,作業負荷プロダクト項目を追加する
ADDWSE,Add Work Station Entry,ワークステーション項目を追加する
ALCOBJ,Allocate Object,オブジェクトを割り振る (ロックする)
ANSLIN,Answer Line,回線に応答する
ANSQST,Answer Questions,質問に応答する
ANZCADPRF,Analyze Admin Domain Profile,管理ドメイン・プロファイルを分析する
ANZCMDPFR,Analyze Command Performance,コマンド・パフォーマンスを分析する
ANZDBF,Analyze Database Files,データベース・ファイルを分析する
ANZDBFKEY,Analyze Database File Keys,データベース・ファイル・キーを分析する
ANZDFTPWD,Analyze Default Passwords,省略時パスワードを分析する
ANZDPRJRN,Analyze DataPropagator Journaling,DataPropagatorジャーナル処理を分析する
ANZLIBBRM,Analyze Libraries using BRMS,BRMSを使用してライブラリーを分析する
ANZOBJCVN,Analyze Object Conversion,オブジェクト変換を分析する
ANZPFRDTA,Analyze Performance Data,パフォーマンス・データを分析する
ANZPGM,Analyze Programs,プログラムを分析する
ANZPRB,Analyze Problem,問題を分析する
ANZPRFACT,Analyze Profile Activity,プロファイル活動を分析する
ANZQRY,Analyze Query,Queryを分析する
ANZUSROBJ,Analyze User Objects,ユーザー・オブジェクトを分析する
APING,Verify APPC Connection,APPC接続を検査する
APYJRNCHG,Apply Journaled Changes,ジャーナル済み変更を適用する
APYPTF,Apply Program Temporary Fix,PTF (プログラム一時修正) を適用する
AREXEC,Run Remote Command,リモート・コマンドを実行する
ARPING,Send Address Resolution Protocol Request,ARP要求を送信する
ASKQST,Ask Question,質問する
BCHJOB,Batch Job,バッチ・ジョブ
CALL,Call Program,プログラムを呼び出す
CALLPRC,Call Bound Procedure,バインドされたプロシージャーを呼び出す
CD,Change Current Directory,現行ディレクトリーを変更する
CFGACCWEB,Configure Access for Web,Webアクセスを構成する
CFGACCWEB2,Configure Access for Web,Webアクセスを構成する (2)
CFGCRGCNR,Configure CRG Container,CRGコンテナーを構成する
CFGDEVASP,Configure ASP Device,ASP装置を構成する
CFGDEVMLB,Configure Device Media Library,媒体ライブラリー装置を構成する
CFGDSTSRV,Configure Distribution Service,配布サービスを構成する
CFGGEOMIR,Configure Geographic Mirror,地理的ミラーリングを構成する
CFGHOSTSVR,Configure Host Server,ホスト・サーバーを構成する
CFGPFRCOL,Configure Performance Collection,パフォーマンス収集を構成する
CFGRTG,Configure Routing Protocols,ルーティング・プロトコルを構成する
CFGSYSSEC,Configure System Security,システム機密保護を構成する
CFGTCP,Configure TCP/IP,TCP/IPを構成する
CFGTCPAPP,Configure TCP/IP Applications,TCP/IPアプリケーションを構成する
CFGTCPFTP,Configure TCP/IP FTP,TCP/IP FTPを構成する
CFGTCPHTTP,Configure TCP/IP HTTP,TCP/IP HTTPを構成する
CFGTCPLPD,Configure TCP/IP LPD,TCP/IP LPDを構成する
CFGTCPRXC,Configure TCP/IP REXEC,TCP/IP REXECを構成する
CFGTCPSMTP,Configure TCP/IP SMTP,TCP/IP SMTPを構成する
CFGTCPSNMP,Configure TCP/IP SNMP,TCP/IP SNMPを構成する
CFGTCPTELN,Configure TCP/IP TELNET,TCP/IP TELNETを構成する
CHDIR,Change Current Directory,現行ディレクトリーを変更する
CHGACGCDE,Change Accounting Code,会計コードを変更する
CHGACTPRFL,Change Active Profile List,活動プロファイル・リストを変更する
CHGACTSCDE,Change Activation Schedule Entry,活動化スケジュール項目を変更する
CHGAJE,Change Autostart Job Entry,自動開始ジョブ項目を変更する
CHGALRACNE,Change Alert Action Entry,アラート処置項目を変更する
CHGALRD,Change Alert Description,アラート記述を変更する
CHGALRSLTE,Change Alert Selection Entry,アラート選択項目を変更する
CHGALRTBL,Change Alert Table,アラート・テーブルを変更する
CHGASPA,Change Auxiliary Storage Pool Attribute,ASP属性を変更する
CHGASPACT,Change ASP Activity,ASP活動を変更する
CHGASPCPYD,Change ASP Copy Description,ASPコピー記述を変更する
CHGASPSSN,Change ASP Session,ASPセッションを変更する
CHGATR,Change Attribute,属性を変更する
CHGAUD,Change Auditing Value,監査値を変更する
CHGAUT,Change Authority,権限を変更する
CHGAUTCOL,Change Authority Collection,権限収集を変更する
CHGAUTJS,Change Job Authority using Advanced Job Scheduler,AJSを使用してジョブ権限を変更する
CHGAUTLE,Change Authorization List Entry,権限リスト項目を変更する
CHGBCKUP,Change Backup Options,バックアップ・オプションを変更する
CHGCAD,Change Cluster Administrative Domain,クラスター管理ドメインを変更する
CHGCDEFNT,Change Coded Font,コード化フォントを変更する
CHGCFGL,Change Configuration List,構成リストを変更する
CHGCFGLE,Change Configuration List Entries,構成リスト項目を変更する
CHGCLNUP,Change Cleanup,クリーンアップを変更する
CHGCLS,Change Class,クラスを変更する
CHGCLU,Change Cluster Configuration,クラスター構成を変更する
CHGCLUMON,Change Cluster Monitor,クラスター・モニターを変更する
CHGCLUNODE,Change Cluster Node Entry,クラスター・ノード項目を変更する
CHGCLURCY,Change Cluster Recovery,クラスター回復を変更する
CHGCLUVER,Change Cluster Version,クラスター・バージョンを変更する
CHGCMD,Change Command,コマンドを変更する
CHGCMDDFT,Change Command Default,コマンドの省略時値を変更する
CHGCMNE,Change Communications Entry,通信項目を変更する
CHGCNTINF,Change Contact Information,連絡先情報を変更する
CHGCOMSNMP,Change Community for SNMP,SNMPコミュニティーを変更する
CHGCOSD,Change Class-of-Service Description,サービス・クラス記述を変更する
CHGCRG,Change Cluster Resource Group,クラスター・リソース・グループを変更する
CHGCRGCNR,Change CRG Container,CRGコンテナーを変更する
CHGCRGDEVE,Change Cluster Resource Group Device Entry,CRG装置項目を変更する
CHGCRGPRI,Change Cluster Resource Group Primary,CRG1次ノードを変更する
CHGCRQD,Change Change Request Description,変更要求記述を変更する
CHGCSI,Change Communications Side Information,通信サイド情報を変更する
CHGCSMSSN,Change CSM ASP Session,CSM ASPセッションを変更する
CHGCTLAPPC,Change Controller Description (APPC),コントローラー記述(APPC)を変更する
CHGCTLASC,Change Controller Description (Async),コントローラー記述(非同期)を変更する
CHGCTLBSC,Change Controller Description (BSC),コントローラー記述(BSC)を変更する
CHGCTLHOST,Change Controller Description (SNA Host),コントローラー記述(SNAホスト)を変更する
CHGCTLLWS,Change Controller Description (Local WS),コントローラー記述(ローカルWS)を変更する
CHGCTLNET,Change Controller Description (Network),コントローラー記述(ネットワーク)を変更する
CHGCTLTAP,Change Controller Description (Tape),コントローラー記述(磁気テープ)を変更する
CHGCTLVWS,Change Controller Description (Virtual WS),コントローラー記述(仮想WS)を変更する
CHGCURDIR,Change Current Directory,現行ディレクトリーを変更する
CHGCURLIB,Change Current Library,現行ライブラリーを変更する
CHGDBG,Change Debug,デバッグを変更する
CHGDDMF,Change Distributed Data Management File,DDMファイルを変更する
CHGDDMTCPA,Change Distributed Data Management TCP/IP Attributes,DDM TCP/IP属性を変更する
CHGDEVAPPC,Change Device Description (APPC),装置記述(APPC)を変更する
CHGDEVASC,Change Device Description (Async),装置記述(非同期)を変更する
CHGDEVASP,Change Device Description (ASP),装置記述(ASP)を変更する
CHGDEVBSC,Change Device Description (BSC),装置記述(BSC)を変更する
CHGDEVCRP,Change Device Description (Crypto),装置記述(暗号)を変更する
CHGDEVDSP,Change Device Description (Display),装置記述(表示装置)を変更する
CHGDEVHOST,Change Device Description (SNA Host),装置記述(SNAホスト)を変更する
CHGDEVINTR,Change Device Description (Intra),装置記述(Intra)を変更する
CHGDEVMLB,Change Device Description (Media Lib),装置記述(媒体ライブラリー)を変更する
CHGDEVNET,Change Device Description (Network),装置記述(ネットワーク)を変更する
CHGDEVNWSH,Change Device Description (NWSH),装置記述(NWSH)を変更する
CHGDEVOPT,Change Device Description (Optical),装置記述(光ディスク)を変更する
CHGDEVPRT,Change Device Description (Printer),装置記述(印刷装置)を変更する
CHGDEVSNPT,Change Device Description (SNPT),装置記述(SNPT)を変更する
CHGDEVTAP,Change Device Description (Tape),装置記述(磁気テープ)を変更する
CHGDIRE,Change Directory Entry,ディレクトリー項目を変更する
CHGDIRSHD,Change Directory Shadow System,ディレクトリー・シャドー・システムを変更する
CHGDIRSVRA,Change Directory Server Attributes,ディレクトリー・サーバー属性を変更する
CHGDLJS,Change Data Library using Advanced Job Scheduler,AJSを使用してデータ・ライブラリーを変更する
CHGDLOAUD,Change Document Library Object Auditing Level,文書ライブラリー・オブジェクト監査レベルを変更する
CHGDLOAUT,Change Document Library Object Authority,文書ライブラリー・オブジェクト権限を変更する
CHGDLOOWN,Change Document Library Object Owner,文書ライブラリー・オブジェクト所有者を変更する
CHGDLOPGP,Change Document Library Object Primary Group,文書ライブラリー・オブジェクト1次グループを変更する
CHGDNSA,Change Domain Name System Server Attributes,DNSサーバー属性を変更する
CHGDOCD,Change Document Description,文書記述を変更する
CHGDSPF,Change Display File,表示ファイルを変更する
CHGDSTA,Change Distribution Attributes,配布属性を変更する
CHGDSTD,Change Distribution,配布を変更する
CHGDSTL,Change Distribution List,配布リストを変更する
CHGDSTPWD,Change IBM Service Tools Password,IBMサービス・ツール・パスワードを変更する
CHGDSTQ,Change Distribution Queue,配布待ち行列を変更する
CHGDSTRTE,Change Distribution Route,配布経路を変更する
CHGDTA,Change Data,データを変更する
CHGDTAARA,Change Data Area,データ域を変更する
CHGDTAJS,Change Parameter Data,パラメーター・データを変更する
CHGEMLCFGE,Change Configuration Entry,構成項目を変更する
CHGENVVAR,Change Environment Variable,環境変数を変更する
CHGEWCBCDE,Change Wireless Controller Barcode Entry,無線コントローラー・バーコード項目を変更する
CHGEWCM,Change Wireless Controller Member,無線コントローラー・メンバーを変更する
CHGEWCPTCE,Change Wireless Controller PTC Entry,無線コントローラーPTC項目を変更する
CHGEWLM,Change Wireless Line Member,無線回線メンバーを変更する
CHGEXPSCDE,Change Expiration Schedule Entry,有効期限切れスケジュール項目を変更する
CHGFCNARA,Change Functional Area,機能域を変更する
CHGFCNUSG,Change Function Usage,機能使用法を変更する
CHGFNTRSC,Change Font Resource,フォント・リソースを変更する
CHGFNTTBLE,Change Font Table Entry,フォント・テーブル項目を変更する
CHGFTPA,Change FTP Attributes,FTP属性を変更する
CHGFTR,Change Filter,フィルターを変更する
CHGGPHFMT,Change Graph Format,グラフ様式を変更する
CHGGPHPKG,Change Graph Package,グラフ・パッケージを変更する
CHGGRPA,Change Group Attributes,グループ属性を変更する
CHGHACFGD,Change HA Configuration Description,HA構成記述を変更する
CHGHAPCY,Change High Availability Policy,高可用性ポリシーを変更する
CHGHAWEB,Change PowerHA Webserver,PowerHA Webサーバーを変更する
CHGHLLPTR,Change High-Level Language Pointer,高水準言語ポインターを変更する
CHGHTTPA,Change HTTP Attributes,HTTP属性を変更する
CHGHYSSTS,Change HyperSwap Status,HyperSwap状況を変更する
CHGICFDEVE,Change Intersystem Communications Function Device Entry,ICF装置項目を変更する
CHGICFF,Change Intersystem Communications Function File,ICFファイルを変更する
CHGIMGCLG,Change Image Catalog,イメージ・カタログを変更する
CHGIMGCLGE,Change Image Catalog Entry,イメージ・カタログ項目を変更する
CHGIPLA,Change IPL Attributes,IPL属性を変更する
CHGJOB,Change Job,ジョブを変更する
CHGJOBD,Change Job Description,ジョブ記述を変更する
CHGJOBJS,Change Job using Advanced Job Scheduler,AJSを使用してジョブを変更する
CHGJOBMLBA,Change Job Media Library Attributes,ジョブ媒体ライブラリー属性を変更する
CHGJOBQ,Change Job Queue,ジョブ待ち行列を変更する
CHGJOBQE,Change Job Queue Entry,ジョブ待ち行列項目を変更する
CHGJOBSCDE,Change Job Schedule Entry,ジョブ・スケジュール項目を変更する
CHGJOBTYP,Change Job Type,ジョブ・タイプを変更する
CHGJRN,Change Journal,ジャーナルを変更する
CHGJRNA,Change Journal Attributes,ジャーナル属性を変更する
CHGJRNOBJ,Change Journaled Object,ジャーナル処理済みオブジェクトを変更する
CHGKBDMAP,Change Keyboard Map,キーボード・マップを変更する
CHGKRBPWD,Change Kerberos Password,Kerberosパスワードを変更する
CHGLANADPI,Change LAN Adapter Information,LANアダプター情報を変更する
CHGLF,Change Logical File,論理ファイルを変更する
CHGLFM,Change Logical File Member,論理ファイル・メンバーを変更する
CHGLIB,Change Library,ライブラリーを変更する
CHGLIBL,Change Library List,ライブラリー・リストを変更する
CHGLICINF,Change License Information,ライセンス情報を変更する
CHGLINASC,Change Line Description (Async),回線記述(非同期)を変更する
CHGLINBSC,Change Line Description (BSC),回線記述(BSC)を変更する
CHGLINETH,Change Line Description (Ethernet),回線記述(イーサネット)を変更する
CHGLNKLBRM,Change Link List,リンク・リストを変更する
CHGLPDA,Change LPD Attributes,LPD属性を変更する
CHGMEDBRM,Change Media using BRMS,BRMSを使用して媒体を変更する
CHGMGTCOL,Change Management Collection,管理収集を変更する
CHGMNU,Change Menu,メニューを変更する
CHGMOD,Change Module,モジュールを変更する
CHGMODD,Change Mode Description,モード記述を変更する
CHGMSGD,Change Message Description,メッセージ記述を変更する
CHGMSGF,Change Message File,メッセージ・ファイルを変更する
CHGMSGQ,Change Message Queue,メッセージ待ち行列を変更する
CHGNCK,Change Nickname,ニックネームを変更する
CHGNETA,Change Network Attributes,ネットワーク属性を変更する
CHGNETJOBE,Change Network Job Entry,ネットワーク・ジョブ項目を変更する
CHGNFSEXP,Change Network File System Export,NFSエクスポートを変更する
CHGNFYJS,Change Notification Command using Advanced Job Scheduler,AJSを使用して通知コマンドを変更する
CHGNODGRPA,Change Node Group Attributes,ノード・グループ属性を変更する
CHGNTBD,Change NetBIOS Description,NetBIOS記述を変更する
CHGNTPA,Change Network Time Protocol Attributes,NTP属性を変更する
CHGNWSA,Change Network Server Attributes,ネットワーク・サーバー属性を変更する
CHGNWSCFG,Change Network Server Configuration,ネットワーク・サーバー構成を変更する
CHGNWSD,Change Network Server Description,ネットワーク・サーバー記述を変更する
CHGNWSSTG,Change Network Server Storage Space,ネットワーク・サーバー記憶スペースを変更する
CHGNWSUSRA,Change Network Server User Attributes,ネットワーク・サーバー・ユーザー属性を変更する
CHGOBJAUD,Change Object Auditing,オブジェクト監査を変更する
CHGOBJCA,Change ObjectConnect Attrs,ObjectConnect属性を変更する
CHGOBJD,Change Object Description,オブジェクト記述を変更する
CHGOBJOWN,Change Object Owner,オブジェクト所有者を変更する
CHGOBJPGP,Change Object Primary Group,オブジェクト1次グループを変更する
CHGOPTA,Change Optical Attributes,光ディスク属性を変更する
CHGOPTVOL,Change Optical Volume,光ディスク・ボリュームを変更する
CHGOSPFA,Change OSPF Attributes,OSPF属性を変更する
CHGOSPFARA,Change OSPF Area,OSPFエリアを変更する
CHGOSPFIFC,Change OSPF Interface,OSPFインターフェースを変更する
CHGOSPFLNK,Change OSPF Virtual Link,OSPF仮想リンクを変更する
CHGOSPFRNG,Change OSPF Range,OSPF範囲を変更する
CHGOUTQ,Change Output Queue,出力待ち行列を変更する
CHGOWN,Change Owner,所有者を変更する
CHGPCOPRF,Change PC Organizer Profile,PCオーガナイザー・プロファイルを変更する
CHGPDGPRF,Change Print Descriptor Group Profile,印刷記述子グループ・プロファイルを変更する
CHGPDMDFT,Change Programming Development Manager Defaults,PDM省略時値を変更する
CHGPEXDFN,Change Performance Explorer Definition,PEX定義を変更する
CHGPF,Change Physical File,物理ファイルを変更する
CHGPFCST,Change Physical File Constraint,物理ファイル制約を変更する
CHGPFM,Change Physical File Member,物理ファイル・メンバーを変更する
CHGPFTRG,Change Physical File Trigger,物理ファイル・トリガーを変更する
CHGPGM,Change Program,プログラムを変更する
CHGPGMVAR,Change Program Variable,プログラム変数を変更する
CHGPGP,Change Primary Group,1次グループを変更する
CHGPGRJS,Change Pager Command using Advanced Job Scheduler,AJSを使用してポケットベル・コマンドを変更する
CHGPJ,Change Prestart Job,事前開始ジョブを変更する
CHGPJE,Change Prestart Job Entry,事前開始ジョブ項目を変更する
CHGPLDOND,Change Policy Level Date,ポリシー・レベル日付を変更する
CHGPOPA,Change POP Server Attributes,POPサーバー属性を変更する
CHGPRB,Change Problem,問題を変更する
CHGPRBACNE,Change Problem Action Entry,問題処置項目を変更する
CHGPRBSLTE,Change Problem Selection Entry,問題選択項目を変更する
CHGPRDOBJD,Change Product Object Description,プロダクト・オブジェクト記述を変更する
CHGPRF,Change Profile,プロファイルを変更する
CHGPRTF,Change Printer File,印刷装置ファイルを変更する
CHGPRXCMD,Change Proxy Command,プロキシー・コマンドを変更する
CHGPSFCFG,Change Print Services Facility Configuration,PSF構成を変更する
CHGPTR,Change Pointer,ポインターを変更する
CHGPWD,Change Password,パスワードを変更する
CHGPWRSCD,Change Power On/Off Schedule,電源オン/オフ・スケジュールを変更する
CHGPWRSCDE,Change Power Schedule Entry,電源スケジュール項目を変更する
CHGQRYA,Change Query Attributes,Query属性を変更する
CHGQSTDB,Change Question/Answer Database,Q/Aデータベースを変更する
CHGRCYAP,Change Recovery for Access Paths,アクセス・パスの回復を変更する
CHGRDBDIRE,Change Relational Database Directory Entry,RDBディレクトリー項目を変更する
CHGRIPA,Change Routing Information Protocol Attributes,RIP属性を変更する
CHGRIPFLT,Change Routing Information Protocol Filter,RIPフィルターを変更する
CHGRIPIFC,Change Routing Information Protocol Interface,RIPインターフェースを変更する
CHGRMTDFN,Change Remote Definition,リモート定義を変更する
CHGRMTJRN,Change Remote Journal,リモート・ジャーナルを変更する
CHGRPYLE,Change Reply List Entry,応答リスト項目を変更する
CHGRTGE,Change Routing Entry,ルーティング項目を変更する
CHGRWSPWD,Change Remote Workstation Controller Password,リモートWSコントローラー・パスワードを変更する
CHGRXCA,Change REXEC Attributes,REXEC属性を変更する
CHGS36,Change S/36 Configuration,S/36構成を変更する
CHGS36A,Change S/36 Environment Attributes,S/36環境属性を変更する
CHGS36MSGL,Change S/36 Message List,S/36メッセージ・リストを変更する
CHGS36PGMA,Change S/36 Program Attributes,S/36プログラム属性を変更する
CHGS36PRCA,Change S/36 Proc Attributes,S/36プロシージャー属性を変更する
CHGS36SRCA,Change S/36 Source Attributes,S/36ソース属性を変更する
CHGSAVF,Change Save File,保管ファイルを変更する
CHGSBSD,Change Subsystem Description,サブシステム記述を変更する
CHGSCDBRM,Change Job Scheduler,ジョブ・スケジューラーを変更する
CHGSCHIDX,Change Search Index,検索索引を変更する
CHGSDSTL,Change SMTP Dist List,SMTP配布リストを変更する
CHGSECA,Change Security Attributes,機密保護属性を変更する
CHGSECAUD,Change Security Auditing,機密保護監査を変更する
CHGSHRPOOL,Change Shared Storage Pool,共用記憶域プールを変更する
CHGSMTPA,Change SMTP Attributes,SMTP属性を変更する
CHGSMTPRLE,Change Remote Login Entry,リモート・ログイン項目を変更する
CHGSNMPA,Change SNMP Attributes,SNMP属性を変更する
CHGSPLFA,Change Spooled File Attributes,スプール・ファイル属性を変更する
CHGSRCPF,Change Source Physical File,ソース物理ファイルを変更する
CHGSRVA,Change Service Attributes,サービス属性を変更する
CHGSRVAGT,Change Service Agent,サービス・エージェントを変更する
CHGSRVAGTA,Change Service Agent Attributes,サービス・エージェント属性を変更する
CHGSRVCFG,Change Service Configuration,サービス構成を変更する
CHGSRVPGM,Change Service Program,サービス・プログラムを変更する
CHGSSNMAX,Change Session Maximum,セッション最大値を変更する
CHGSSTKEY,Change SST TOTP Key,SST TOTPキーを変更する
CHGSSTSECA,Change SST Security Attributes,SST機密保護属性を変更する
CHGSSTUSR,Change Service Tools User ID,保守ツール・ユーザーIDを変更する
